This Year,Name,Image,Type,Edible,Description,Location,Sowing month,Indoor seed,Date sown,Outdoor seed,Planting out month,Planting out instruction,Sowing Instructions,Pruning month,Pruning Instructions,Harvest month,Flowering,Preferences,Soil Preference,Care Instructions,Common problems,Good for pollinators,Link to Useful Website,Archived
Yes,Sweet Pea Dwarf Cupid Mixed,Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_9289.jpg,"Annual, Flowers",No,"(Lathyrus odoratus)
This dwarf variety is perfect for hanging baskets, with their wonderful scented, cascading flowers in a superb mixture of colours. Hardy Annual.",Seed pack,"April, May",No,,Yes,,,"Outdoor Planting:
Sow seeds 0.5cm deep in flowering location When the seedlings are strong enough to handle they can be transplanted into bigger pots or trays. Do not overcrowd the plants and keep in a warm, light position. Once all chance of frost has passed the plants can be transplanted direct into your desired location outside. Harden off first.",,,,"August, July, June, May","Full sun, Pot",,,,No,,No
Yes,Sweet Pea patio mixed,"Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7325.jpg, Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7326.jpg","Annual, Flowers",No,"HARDY ANNUAL
The perfect variety for edging a border, or planting in baskets, window boxes or patio containers. Dwarf, bushy plants produce up to four waved blooms per short stem in a superb range of colours and each sweetly scented.",Seed pack,"April, December, February, January, March, November, October",Yes,,No,,,"If sowing in autumn or winter, sow 3 seeds per 7.5cm pot and place in a
cold frame where seeds will germinate and grow throughout the winter until
spring. They can then be planted into their final flowering positions in the
garden or containers.
If sowing in spring, sow as above and place the pots in a propagator or seal
inside a polythene bag and keep at å temperature around 20- 25C until the seeds germinate. This will take about 7-21 days. Do not exclude light
as this helps germination.
Caution; Seeds harmful if eaten.",,,,"August, July, June",Full sun,"Well drained, Wet",,,No,,No
Yes,Sweet Pea Scent infusion,Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_9385.jpg,"Annual, Flowers",No,"Superb for growing up arches, trellis, obelisks and for cutting The more blooms you cut, the more they will flower
For an informal display, let them scramble through shrubs. A designer mixture made up of these unusual highly scented modern grandiflora varieties; Albutt Blue, April in Paris, Cathy, Fire & Ice, Heathcliff, Juliet and Memories. Perfect for cutting where their rich fragrance will quickly pervade into a room.",Seed pack,"February, January, March",No,,No,"April, March, May","GROWING INSTRUCTIONS: Overwinter October sown plants in cooler conditions
such as a coldframe before planting out in spring, when the ground has warmed, 23-30cm (9-12in) apart. ","SOWING INSTRUCTIONS: Soak seeds overnight in warm water before sowing 1cm
(2in) deep, 3 seeds per 7.5cm (3in) pot, in free-draining, damp, seed compost. Place in a propagator or seal container inside a polythene bag and place at 20-25°C (68-77°F) until after germination which takes 7-21 days. Do not exclude light. Spring sowings can be sown outdoors, 2.5cm (1in) deep, in drills 7.5cm (3in) apart.",,,,"August, July, June",Full sun,Wet,Pinch out the growing point once the second pair of leaves has opened. Water freely in dry weather. Remove faded flowers regularly to encourage more blooms.,,No,,No
Yes,Sweet William Kaleidoscope Mix,"Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7315.jpg, Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7316.jpg","Annual, Flowers",No,"Amazingly quick to flower in the first year from seed
Thrives in any rich, well drained soil in full sun. Highly scented.
A striking bi-colour mixture including pink, lilac and rose. Sure to create an ever-changing border as the florets change colour as the flowers mature. First
year flowering from an early sowing, or can be grown as a traditional biennial.",Seed pack,"February, January",Yes,,No,,"Transplant seedlings when large enough to handle
into trays or 7.5cm pots. Gradually acclimatise plants to cooler conditions for a few weeks before planting out after all risk of frost has passed, 30cm (12in) apart. Summer sown plants can be transplanted to their final position in the autumn to start flowering the following spring","SOWING INSTRUCTIONS: sow seed on the surface of a good, free draining, damp seed compost and lightly cover the seeds with a sprinkling of compost or vermiculite. Place in a propagator or seal container inside a polythene bag at a temperature of
18-20C until after germination which usually takes 7-21 days. Do not exclude light, as this helps germination.",,,,"August, July, June, May, September",Full shade,Well drained,,,Yes,,No
Yes,Sweetcorn Golden Gate F1,"Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7351.jpg, Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7352.jpg","Annual, Vegetable",Yes,"Quicker to establish in cooler/wetter soils
Strong root system; uniform growth; enhanced cob flavour
22cm cobs with golden kernels
Delicious sweetcorn variety which boasts dramatically improved
establishment of plants in cooler and/or wetter soils, offering gardeners the opportunity to grow sweetcorn in less than perfect soil and weather conditions. Cobs are filled to the tips with 18 to 20 rows of deliciously sweet golden kernels.",Seed pack,"April, May",Yes,,No,June,"GROWING INSTRUCTIONS: Grow on steadily and gradually harden off prior to planting out from late May, or once frost risk has passed. Grow in a block for best pollination, allowing 38cm between plants each way. For optimum performance, we suggest planting through black polythene for extra warmth. Grow in isolation from other varieties to avoid cross pollination.","SOWING INSTRUCTIONS: sow individually, 2cm deep in 5cm
pots of good seed compost to avoid root disturbance. Sow at 25C
under glass or in a propagator. Can also be sown direct outside in warm soil May to early June.",,,"August, October, September",,"Full sun, Wet","Well drained, Wet",,,No,,No
Yes,Sweetcorn Gucio,Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_9293.jpg,Vegetable,Yes,Zea mays,Seed pack,"April, March, May",Yes,,No,"June, May",Plant out in blocks 40 cm apart into well-drained soil in a sunny position when frosts are over. Blocks planting will help pollination and cob formation.,"Sow indoors in to 9 cm pots
of seed compost, 1.5 cm deep, 2 seeds per pot. Water well.
If both seeds germinate, remove the smaller, weaker seedling.
Seedlings will usually appear after 10-14 days.",,,"August, September",,Full sun,Wet,"Keep the soil moist and weed free. Feed with a liquid Tomato fertiliser when the cobs begin to swell. Upright.
180 cm",,No,,No
Yes,Swiss Chard Celebration,"Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7307.jpg, Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7308.jpg","Annual, Vegetable",Yes,"Perfect Swiss Chard selection for the home gardener
Use immature leaves in salads and mature leaves like spinach
Stems and leaves are tasty and packed with nutrients
A truly magnificent ornamental edible! Colourful stems bear gently savoyed leaves in green and burgundy which are delicious and nutritious eaten young and raw, or mature and steamed along with the stems. Can be grown in large containers where the colours can be fully appreciated!",Seed pack,"April, August, July, June, March, May, September",No,,Yes,,,"SOWING INSTRUCTIONS: sow seed thinly, 1cm deep, in drills 30cm apart.
GROWING INSTRUCTIONS: Thin seedlings to 23cm (9in) apart when large enough to handle; thinnings are suitable for using in salads. Harvest stems as
required picking only a few from each plant.",,,"August, December, July, November, October, September",,"Full sun, Part shade",,,,No,,No
No,Tarragon Russian,Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_9314.jpg,Herb,Yes,"Artemisia dracunculus
A very easy to grow variety producing an abundance of leaves great for flavouring vinegars, pickles and sauces, ideal in salads to.",Seed pack,"April, March, May",No,,No,,"Growing On:
When the seedlings are strong enough to handle they can be transplanted into bigger pots or trays. Do not overcrowd the plants and keep in a warm, light position. Once all chance of frost has passed the plants can be transplanted direct into your desired cation. Harden off first.
Alternatively, for all year round supply, sow indoors in pots.","Indoor Planting:
Sprinkle seeds thinly on the surface of trays of moist compost and cover lightly, be careful not to over-water. Store in a warm place at an approx. temperature of 20-25°c (70-75°f). It is a good idea to cover with a clear plastic bag until the seeds germinate. Once the seedlings appear, remove the plastic.",,,"August, July, June, May, October, September",,,,,,No,,No
Yes,Thyme,"Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7353.jpg, Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7354.jpg","Herb, Perennial",Yes,"A hardy shrub, often evergreen, the strong flavour
is delicious when combined with all types of
robust meat and vegetable dishes.",Seed pack,"April, February, March, May",Yes,,No,,"When large enough transplant 5cm apart
in further trays. Acclimatise to outside
conditions. Stand outside for a few days
(avoid frosts). Transplant to final position
spacing 25cm apart, in a warm sunny
position in well drained soil","In trays o seed compost
Sow thinly, cover lightly with fine compost
Firm gently. Keep at 15-20C and keep
moist. Seedlings appear 21-35 days",,,"April, August, July, June, March, May, November, October, September",,Full sun,Well drained,"Cloche protection from autumn gives longer cropping. If they
are to be dried, gather them just before the
flowers begin to open. Transfer a plant to a pot on the windowsill
in winter for easier picking",,No,,No
Yes,Tomato 'Giant Delicious' mari mari,Our%20garden%2093e00b18daa6406bb774d7fac429385d/83B484E4-355B-42DA-A209-CF4CDD7E9333.jpeg,"Annual, Vegetable",Yes,"Solanum lycopersicum 'Delicious' ('Red Delicious')
• Cordon (Vine) Tomato.
• Huge Beefsteak fruits are filled with juicy meaty flesh.
• One slice will fill a sandwich.
• Suitable for protected and outdoor growing.
• Open pollinated heritage (heirloom) variety.","Seed pack, Seed tray - indoors","February, March",Yes,"February 24, 2024",No,,,"Tomato seed is easy to germinate and grow on provided you practise good hygiene, use the freshest possible seed compost, and keep a careful eye on temperature, watering and light. Sow the seed thinly onto gently firmed trays or pots of compost – about ten seeds to a 3½"" (9 cm) pot, or a couple of hundred seeds to a standard seed tray (you can divide up the tray to sow a number of varieties if you wish). Cover the seed with a layer of vermiculite or sieved fresh seed compost roughly as thick as the seeds themselves.
Water the trays or pots and stand them somewhere warm and in good light. A constant temperature of 64-77°F (18-25°C) is perfect, so if you have a heated propagator that is ideal; alternatively, a warm windowsill will be fine. Avoid putting the tray or pot in a plastic bag as this can create excessive humidity and the possibility of fungal problems. Keep the compost just moist but never soggy. At a temperature of 75°F (24°C) seeds should germinate within five to ten days; a cooler temperature will slow down germination, and below 50°F (10°C) the seeds will probably not germinate at all.
Once the seeds have germinated, keep a very close eye on them as the seedlings can turn leggy very quickly. Provide as much light as you possibly can and grow the seedlings on at a reduced temperature of around 65°F (18°C). If you are growing them on a windowsill or using a similar uni-directional light source you will need to turn the growing container several times a day to ensure that the seedlings do not grow towards the light. Watering is also important – too much water and you will produce weak, leggy seedlings. It is better to let the compost all but dry out before watering again rather than keeping the compost at a 'steady moist'. Once the seedlings have produced their first true leaves (that is, the first set of leaves after the seedling leaves) prick out (transplant) your seedlings into modules or small pots. As with all seedlings, hold them by their leaves rather than their stems when pricking out. If the seedlings are a little leggy you can set them deeper to shorten the height of the seedling, as tomato seedlings will stem-root.",,,,,,,"• This is an indeterminate variety and best grown as a cordon (vine).
• Support of the developing crop with strings, canes or similar will be essential!
• For best yields stop at 3rd or 4th truss if growing under protection (2nd or 3rd outside).
• Whilst the best crops will be grown under protection, this variety can also be grown outside.",,No,https://www.victoriananursery.co.uk/Tomato-Seed-Giant-Delicious/,No
No,Tomato Black cherry,Our%20garden%2093e00b18daa6406bb774d7fac429385d/37ABBE95-C821-453A-AE96-2F29AE670FFC.jpeg,"Annual, Vegetable",Yes,Solanumlycopersicum'Black Cherry' A cordon cherry tomato suitable for growing in a greenhouse or outdoors. It produces plentiful crops of small dark purple/red cherry tomatoes which are great for salads.,Seed pack,"February, March",Yes,,No,May,"When growing in a heated glasshouse tomato plants may be transplanted at the end of May or when the first flowers are showing, if earlier. Allow 3 plants per growbag, or one per 25cm (10"") pot, or plant tomatoes directly into the greenhouse soil.","Sow seeds on the surface of a good, free-draining, damp, seed sowing mix and cover with a fine sprinkling of compost or vermiculite. Place seed trays in a propagator at a constant temperature of around 15-20C (59-68F) until after germination, which takes 7-14 days. When seedlings gain 2 true leaves, transplant into individual 7.5cm (3"") pots of compost and grow on at a minimum temperature of 15C (59F).",,"Remove all side shoots as they appear. Pinch the growing tip when the plant has formed seven trusses under cover or four trusses outdoors. Tie the main stems to their supports and remove any sideshoots that develop between the main stem and the leaf stems. Once the plant has produced 6 or 7 trusses, pinch out the top of the main stem. This process of ""sideshooting"" and ""stopping"" will increase the availability of light and air movement around the developing fruit, and focus the plants energy on producing a good crop of high quality tomatoes.","August, July, September",,,,"Water tomato plants frequently, to keep the compost evenly moist. Feed tomatoes regularly with a high potash plant food once the first truss of fruit has formed.",,No,,No
No,Tomato Cherry Cerise,Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_9363.jpg,Vegetable,Yes,"Solanum lycopersicum 
The smallest variety, producing sweet tasting red tomatoes. Delicious eaten raw or cooked, very popular with children.",Seed pack,"April, March",No,,No,"April, June, May",The plants can be moved to an unheated glasshouse in April or hardened off and planted out from June.,"Indoor Planting:
Sow seeds 1.5cm deep in pots or trays of moist compost, be careful not to over-water. Store in a warm location at an approx. temperature of 18°c (65°f). When the seedlings are approx. 6"" high, transfer to larger pots and reduce the temperature to 16°c (60°f).",,,"August, July, June, October, September",,,,"Support the plants when needed.
Harvest
Limit each plant to 4-5 trusses and pinch out the sideshoots. Feed regularly with a tomato feed.",,No,,No
Yes,Tomato Crimson crush F1,"Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7386.jpg, Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7387.jpg","Annual, Vegetable",Yes,"Cordon (upright growing) variety
Bred in the UK for outdoor conditions
Exceptional tasting, large tomatoes",Seed tray - indoors,"April, March",Yes,"February 24, 2024",No,"June, May","Grow on, finally planting into large pots, grow bags or direct into the greenhouse border; or outdoors 45cm (18"") apart when frost risk has passed. Feed regularly and sideshoot as necessary. Sowing —+ Cropping — 17-19 weeks.","Sow March/April for greenhouse growing (or April for
outdoors) in a propagator on a windowsill or pots or trays
in a greenhouse at 18-21 oc (65-700F) using a quality compost.
Cover seeds with 6mm (1/4"") sieved compost (Germination 8-12 days). Transplant seedlings singly into 75mm 3"" pots.",,,"August, July, October, September",,Full sun,Well drained,,,No,,No
No,Tomato Golden Sunrise,Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_9371.jpg,Vegetable,Yes,"Solanum lycopersicum
Add a splash of colour to your salads with these sweet tasting, yellow medium sized tomatoes.",Seed pack,"April, February, March",No,,No,April,"The plants can be moved to an unheated glasshouse in April or hardened off and planted out from June. Choose a sheltered position in full sun and transplant at a distance of 60cm (24"") apart.","Indoor Planting:
Sow seeds 1.5cm deep in pots or trays of moist compost, be careful not to over-water. Store in a warm location at an approx. temperature of 15-20°c (59-68°).
When the seedlings are approx. 6"" high, transfer to larger pots.",,,"August, July, June, September",,Full sun,Well drained,"Support the plants when needed. Limit each plant to 4-5 trusses and pinch out the sideshoots.
Feed regularly with a tomato feed.",,No,,Yes
Yes,Tomato minibel (patio/pots),"Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7473.jpg, Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7474.jpg","Annual, Vegetable",Yes,"Small cherry tomatoes with an irresistable, sweet
flavour. Compact plants, ideal for pots and hanging
baskets. Determinate type, requires no support.","Seed pack, Seed tray - indoors","April, March",Yes,"February 24, 2024",No,"June, May","Stand outside for a few days late May
(avoid frosts). Plant out to containers at
least 20cm in diameter, hanging baskets
or grow bags. Space plants grown in the
garden 45cm apart
Plants grown in soil or grow bags may
require some support. Keep moist and
weed free","In pots or trays of seed compost
Sow thinly, cover with a fine layer of
compost. Firm gently and keep moist
Cover with glass, polythene or a
propagator lid. Keep at approx. 15-20<
Seedlings appear 7-14 days
Remove cover when seedlings appear
Transplant to individual pots when 10cm tall. Grow on at approx 15C",,,"August, October, September",,Full sun,Well drained,"Apply a liquid feed every 2-3 weeks when
first trusses have set",,No,,No
No,Tomato Roma,Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_9373.jpg,Vegetable,Yes,"Solanum lycopersicum
Heavy cropping, delicious plum shaped tomatoes excellent for soups, tomato juice, ketchup or just eating cold. Very thick and juicy!",Seed pack,"April, March",No,,No,April,"The plants can be moved to an unheated glasshouse in April or hardened off and planted out from June. Choose a sheltered position, with a well drained soil. Transplant at a distance of 24""/60cm apart.","Indoor Planting:
Sow seeds 1.5cm deep in pots or trays of moist compost, be careful not to over-water. Store in a warm location at an approx. temperature of 18°c (55°f). When the seedlings are approx. 6"" high transfer to larger pots and reduce the temperature to 16°c (60°f)",,,"August, July, June, October, September",,Full sun,Well drained,Support the plants when needed and feed regularly with a tomato feed.,,No,,Yes
